timestamp,name,value,unit
2025-06-10T01:48:54.755,Lämpötila,0.00,C
2025-06-10T01:48:54.755,Kosteus,12.5,%
2025-06-10T01:48:55.755,Lämpötila,0.00,C
2025-06-10T01:48:55.755,Kosteus,13.0,%
2025-06-10T01:48:56.755,Lämpötila,0.00,C
2025-06-10T01:48:56.755,Kosteus,13.5,%
2025-06-10T01:48:57.755,Lämpötila,0.00,C
2025-06-10T01:48:57.755,Kosteus,14.0,%
2025-06-10T01:48:58.755,Lämpötila,0.00,C
2025-06-10T01:48:58.755,Kosteus,14.5,%
2025-06-10T01:48:59.755,Lämpötila,0.00,C
2025-06-10T01:48:59.755,Kosteus,15.0,%
2025-06-10T01:49:00.755,Lämpötila,0.00,C
2025-06-10T01:49:00.755,Kosteus,15.5,%
2025-06-10T01:49:01.755,Lämpötila,0.00,C
2025-06-10T01:49:01.755,Kosteus,16.0,%
2025-06-10T01:49:02.755,Lämpötila,0.00,C
2025-06-10T01:49:02.756,Kosteus,16.5,%
2025-06-10T01:49:03.755,Lämpötila,0.00,C
2025-06-10T01:49:03.755,Kosteus,17.0,%
2025-06-10T01:49:04.755,Lämpötila,0.00,C
2025-06-10T01:49:04.755,Kosteus,17.5,%
2025-06-10T01:49:05.754,Lämpötila,0.00,C
2025-06-10T01:49:05.754,Kosteus,18.0,%
2025-06-10T01:49:06.761,Lämpötila,0.00,C
2025-06-10T01:49:06.761,Kosteus,18.5,%
2025-06-10T01:49:07.755,Lämpötila,0.00,C
2025-06-10T01:49:07.755,Kosteus,19.0,%
2025-06-10T01:49:08.754,Lämpötila,0.00,C
2025-06-10T01:49:08.754,Kosteus,19.5,%
2025-06-10T01:49:09.764,Lämpötila,0.00,C
2025-06-10T01:49:09.765,Kosteus,20.0,%
2025-06-10T01:49:10.776,Lämpötila,0.00,C
2025-06-10T01:49:10.776,Kosteus,20.5,%
2025-06-10T01:49:11.754,Lämpötila,0.00,C
2025-06-10T01:49:11.754,Kosteus,21.0,%
2025-06-10T01:49:12.754,Lämpötila,0.00,C
2025-06-10T01:49:12.754,Kosteus,21.5,%
2025-06-10T01:49:13.754,Lämpötila,0.00,C
2025-06-10T01:49:13.754,Kosteus,22.0,%
2025-06-10T01:49:14.754,Lämpötila,0.00,C
2025-06-10T01:49:14.754,Kosteus,22.5,%
2025-06-10T01:49:15.754,Lämpötila,0.00,C
2025-06-10T01:49:15.754,Kosteus,23.0,%
2025-06-10T01:49:16.754,Lämpötila,0.00,C
2025-06-10T01:49:16.754,Kosteus,23.5,%
2025-06-10T01:49:17.754,Lämpötila,0.00,C
2025-06-10T01:49:17.754,Kosteus,24.0,%
2025-06-10T01:49:18.754,Lämpötila,0.00,C
2025-06-10T01:49:18.754,Kosteus,24.5,%
2025-06-10T01:49:19.754,Lämpötila,0.00,C
2025-06-10T01:49:19.754,Kosteus,25.0,%
2025-06-10T01:49:20.754,Lämpötila,0.00,C
2025-06-10T01:49:20.754,Kosteus,25.5,%
2025-06-10T01:49:21.754,Lämpötila,0.00,C
2025-06-10T01:49:21.754,Kosteus,26.0,%
2025-06-10T01:49:22.754,Lämpötila,0.00,C
2025-06-10T01:49:22.754,Kosteus,26.5,%
